date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:01:03	75636/75636	---M--	200	added ('OK')	application/font-woff2	etag:%226f4edbd82bb248f2b2f03dbfa9e663b531969f72%22	https://use.typekit.net/af/dabff9/00000000000000000001588f/27/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n3&v=3	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/use.typekit.net/af/dabff9/00000000000000000001588f/27/l0ac7	(from https://use.typekit.net/lab8xti.css)
19:01:03	154156/154156	---MCZ	200	added ('OK')	font/opentype	etag:W/%2296cc04e53c590d79430869b3b738e204fba9d341%22	https://use.typekit.net/af/8254f0/000000000000000000015892/27/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i4&v=3	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/use.typekit.net/af/8254f0/000000000000000000015892/27/a34b8	(from https://use.typekit.net/lab8xti.css)
19:01:04	80764/80764	---M--	200	added ('OK')	application/font-woff	etag:%226f4edbd82bb248f2b2f03dbfa9e663b531969f72%22	https://use.typekit.net/af/dabff9/00000000000000000001588f/27/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n3&v=3	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/use.typekit.net/af/dabff9/00000000000000000001588f/27/d0ac7	(from https://use.typekit.net/lab8xti.css)
19:01:04	150440/150440	---MCZ	200	added ('OK')	font/opentype	etag:W/%226f4edbd82bb248f2b2f03dbfa9e663b531969f72%22	https://use.typekit.net/af/dabff9/00000000000000000001588f/27/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n3&v=3	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/use.typekit.net/af/dabff9/00000000000000000001588f/27/a0ac7	(from https://use.typekit.net/lab8xti.css)
19:01:04	79756/79756	---M--	200	added ('OK')	application/font-woff2	etag:%227bac45d507ce2a83e24a70994d93df0b33882a2c%22	https://use.typekit.net/af/600d5d/000000000000000000015890/27/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i3&v=3	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/use.typekit.net/af/600d5d/000000000000000000015890/27/l00c0	(from https://use.typekit.net/lab8xti.css)
19:01:04	84420/84420	---M--	200	added ('OK')	application/font-woff	etag:%227bac45d507ce2a83e24a70994d93df0b33882a2c%22	https://use.typekit.net/af/600d5d/000000000000000000015890/27/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i3&v=3	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/use.typekit.net/af/600d5d/000000000000000000015890/27/d00c0	(from https://use.typekit.net/lab8xti.css)
19:01:05	78304/78304	---M--	200	added ('OK')	application/font-woff2	etag:%22de2c302e872b79ff41fe6c8af237df9f8934f7ff%22	https://use.typekit.net/af/db612c/000000000000000000015895/27/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n7&v=3	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/use.typekit.net/af/db612c/000000000000000000015895/27/l04c7	(from https://use.typekit.net/lab8xti.css)
19:01:05	154384/154384	---MCZ	200	added ('OK')	font/opentype	etag:W/%227bac45d507ce2a83e24a70994d93df0b33882a2c%22	https://use.typekit.net/af/600d5d/000000000000000000015890/27/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i3&v=3	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/use.typekit.net/af/600d5d/000000000000000000015890/27/a00c0	(from https://use.typekit.net/lab8xti.css)
19:01:05	83760/83760	---M--	200	added ('OK')	application/font-woff	etag:%22de2c302e872b79ff41fe6c8af237df9f8934f7ff%22	https://use.typekit.net/af/db612c/000000000000000000015895/27/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n7&v=3	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/use.typekit.net/af/db612c/000000000000000000015895/27/d04c7	(from https://use.typekit.net/lab8xti.css)
19:01:06	155752/155752	---M-Z	200	added ('OK')	font/opentype	etag:W/%22de2c302e872b79ff41fe6c8af237df9f8934f7ff%22	https://use.typekit.net/af/db612c/000000000000000000015895/27/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n7&v=3	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/use.typekit.net/af/db612c/000000000000000000015895/27/a04c7	(from https://use.typekit.net/lab8xti.css)
19:01:06	81684/81684	---M--	200	added ('OK')	application/font-woff2	etag:%22389e396fc5442ea1e9469823aabe427e76a0c511%22	https://use.typekit.net/af/3297b1/000000000000000000015896/27/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i7&v=3	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/use.typekit.net/af/3297b1/000000000000000000015896/27/l3fe8	(from https://use.typekit.net/lab8xti.css)
19:01:06	87652/87652	---M--	200	added ('OK')	application/font-woff	etag:%22389e396fc5442ea1e9469823aabe427e76a0c511%22	https://use.typekit.net/af/3297b1/000000000000000000015896/27/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i7&v=3	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/use.typekit.net/af/3297b1/000000000000000000015896/27/d3fe8	(from https://use.typekit.net/lab8xti.css)
19:01:07	158940/158940	---MCZ	200	added ('OK')	font/opentype	etag:W/%22389e396fc5442ea1e9469823aabe427e76a0c511%22	https://use.typekit.net/af/3297b1/000000000000000000015896/27/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i7&v=3	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/use.typekit.net/af/3297b1/000000000000000000015896/27/a3fe8	(from https://use.typekit.net/lab8xti.css)
19:01:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2020%20Jun%202020%2000:01:07%20GMT	https://grupo-evolucion.webnode.es/metodos-de-ensenanza/wnd_header.set	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/grupo-evolucion.webnode.es/metodos-de-ensenanza/wnd_header.7d.delayed	(from https://grupo-evolucion.webnode.es/metodos-de-ensenanza/)
19:01:08	38252/38252	---M--	200	added ('OK')	image/jpeg	etag:%228cf5d672217a9afbb26e19256e015428%22	https://d1di2lzuh97fh2.cloudfront.net/files/1p/1pv/450/1pv075.jpg?ph=592b84a5a5	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/d1di2lzuh97fh2.cloudfront.net/files/1p/1pv/450/1pv07535cc.jpg	(from https://grupo-evolucion.webnode.es/metodos-de-ensenanza/)
19:01:08	21309/21309	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2020%20Jun%202020%2000:01:07%20GMT	https://grupo-evolucion.webnode.es/metodos-de-ensenanza/wnd_header.set/	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/grupo-evolucion.webnode.es/metodos-de-ensenanza/wnd_header.set/index.html	(from https://grupo-evolucion.webnode.es/metodos-de-ensenanza/)
